tweet,date,likes,retweets
"RT @DontDregMeBro: Tara Reade calls for release of Biden's Senate records:
'Why are they under seal?'
https://t.co/a0jLy62PS5

BOOM.",2020-04-28 19:14:10,0,13
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:14:09,0,780
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:14:08,0,55
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:07,0,593
Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/fTFgEmoHVT #FoxNews,2020-04-28 19:14:06,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:05,0,593
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:04,0,593
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:14:03,0,8
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:14:03,0,38
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:02,0,595
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:14:02,0,8
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:00,0,595
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:59,0,595
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:13:59,0,780
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:13:57,0,780
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:57,0,595
"RT @TrumpsPitBull: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/48312EhBjC",2020-04-28 19:13:57,0,22
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/KNCvYHOaXm",2020-04-28 19:13:57,0,0
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:13:56,0,55
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:13:53,0,55
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:52,0,595
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:51,0,38
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:50,0,38
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:50,0,595
"RT @CHIZMAGA: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/51Aq29QnDT",2020-04-28 19:13:50,0,71
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:49,0,595
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:48,0,595
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:13:47,0,780
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:44,0,595
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:13:43,0,35
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:42,0,595
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:40,0,595
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:13:39,0,8
"Yeah, why are they sealed? And for that matter why are all Hussein’s records sealed? 🤔

Tara Reade calls for releas… https://t.co/8ynQui0TKG",2020-04-28 19:13:39,6,2
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:37,0,595
"RT @MrJones_tm: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

GREAT Question..... 🧐

Democrats consta…",2020-04-28 19:13:36,0,55
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:13:34,0,8
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:34,0,597
"RT @Joe7993: Whete are Joe Bidens records?

Where are Hunter Bidens records?

Tara Reade calls for release of Biden's Senate records: 'Why…",2020-04-28 19:13:34,0,17
Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/SBxGitaTNO #FoxNews,2020-04-28 19:13:34,0,0
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:13:33,0,780
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:31,0,597
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:29,0,597
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:13:27,0,39
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:13:27,0,597
Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/rjdiam2zXU #FoxNews,2020-04-28 19:13:26,0,0
