tweet,date,likes,retweets
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:11:52,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:09:20,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:07:40,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:07:00,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:04:41,0,11
WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:02:58,30,11
"California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow thi… https://t.co/760Zmf6Tnd",2020-04-24 18:57:29,3,0
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-23 19:01:08,0,5
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-23 18:59:10,0,5
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-23 18:58:48,0,5
"California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow thi… https://t.co/ugFaUgZUmb",2020-04-23 18:56:17,6,5
"Watching @GavinNewsom updates, they're as great as Gov Quomo's.....!!
Live: California Gov. Newsom Gives Update On… https://t.co/XC7ma01eSN",2020-04-23 03:16:39,2,0
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 21:47:58,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:53:05,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:08:11,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:07:54,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:05:32,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:03:32,0,7
RT @ABC7: WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:03:14,0,7
WATCH #LIVE: Gov. Newsom provides update on timeline for reopening California amid #coronavirus pandemic https://t.co/XIXj4MiDkF,2020-04-22 19:02:56,33,7
RT @LAist: Gov. Gavin Newsom is about to deliver a coronavirus briefing with updates on the 6 factors for lifting stay-at-home orders that…,2020-04-22 18:58:02,0,2
Gov. Gavin Newsom is about to deliver a coronavirus briefing with updates on the 6 factors for lifting stay-at-home… https://t.co/ZYEbvaco2b,2020-04-22 18:56:05,6,2
WATCH LIVE: Gov. Newsom provides coronavirus update for California | Local coronavirus updates https://t.co/UBc8VQNvA5,2020-04-21 19:42:05,1,0
"APRIL 21, 2020 | 12:06 PM PDT | 4 minutes ago · 
California novel coronavirus update: LIVE
ABC News is live now.
WA… https://t.co/zRCSQ8nFbG",2020-04-21 19:09:02,0,0
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-21 19:01:14,0,1
"California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow thi… https://t.co/DPWUYO7i6w",2020-04-21 18:58:31,3,1
RT @KTLA: Gov. @GavinNewsom's daily coronavirus briefing is set to begin at noon. Watch live here and follow this thread for updates: https…,2020-04-21 05:55:30,0,11
RT @KTLA: Gov. @GavinNewsom's daily coronavirus briefing is set to begin at noon. Watch live here and follow this thread for updates: https…,2020-04-20 19:27:24,0,11
