tweet,date,likes,retweets
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:09:56,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:09:34,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:09:16,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:08:20,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:08:18,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:08:02,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:07:35,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:07:20,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:07:09,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:06:36,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:06:30,0,59
"RT @htTweets: Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGf…",2020-04-27 06:06:12,0,59
"Except Meghalaya and Himachal Pradesh, all other states were in favour of lifting the #Covid19 lockdown.

https://t.co/QwBoGfA6fC",2020-04-27 06:05:56,247,59
"PM Modi’s meeting with CMs: Meghalaya to extend lockdown, Mizoram abide by Centre’s decision
https://t.co/atE52Zpj7k",2020-04-27 05:51:59,0,0
RT @SarafRak: #IndiaCheckmatesChina Great move by India...Now it's time to boycott China....Bold decision by PM modi...RT if you agree.. ht…,2020-04-27 05:04:28,0,61
"RT @vermabhasker: whole world is praising @narendramodi
ji, except few retards from our own country.
#Lockdown2
#LockdownExtended
https://t…",2020-04-26 17:41:20,0,1
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 14:31:55,0,23
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 11:08:29,0,24
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 10:44:38,0,24
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 10:43:29,0,23
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 09:31:52,0,23
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 09:27:41,0,23
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 08:41:26,0,24
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 07:55:07,0,24
"India’s decision to supply medicines to countries was guided by its ethos, says PM Modi - The Hindu… https://t.co/nYOdqJJ6Rj",2020-04-26 07:47:38,0,0
"India’s decision to supply medicines to countries was guided by its ethos, says PM Modi - The Hindu… https://t.co/L86n2u99ka",2020-04-26 07:40:41,0,0
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 07:34:29,0,24
"The Hindu: India’s decision to supply medicines to countries was guided by its ethos, says PM Modi &gt;&gt; who decides e… https://t.co/7YMx6mgCaz",2020-04-26 07:11:02,0,0
"PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM Modi",2020-04-26 07:07:19,0,0
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 07:04:22,0,23
RT @BJP4India: “PM Modi is a model for the world. India as world’s largest democracy is allowing the voices of the little guys to be heard.…,2020-04-26 07:03:26,0,755
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 06:29:28,0,23
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 06:28:44,0,23
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:22:13,0,24
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:15:15,0,24
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:09:45,0,24
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:08:39,0,24
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 06:07:51,0,23
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:06:05,0,24
"India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos,… https://t.co/Elb5hqCyfo",2020-04-26 06:03:52,0,0
"RT @PTI_News: India's decision to supply medicines to countries which needed them amid COVID-19 pandemic was guided by its ethos, says PM M…",2020-04-26 06:03:20,0,24
"RT @ndtv: ""India's decision to supply medicines to countries which needed them amid #coronavirus pandemic was guided by its ethics"": PM Mod…",2020-04-26 06:03:05,0,23
